cat_a,cat_b,co_count
cama_mesa_banho,moveis_decoracao,70
cama_mesa_banho,casa_conforto,43
moveis_decoracao,utilidades_domesticas,24
bebes,cool_stuff,20
cama_mesa_banho,utilidades_domesticas,20
bebes,brinquedos,19
bebes,cama_mesa_banho,17
ferramentas_jardim,moveis_decoracao,16
beleza_saude,esporte_lazer,14
casa_construcao,moveis_decoracao,13
bebes,moveis_decoracao,12
construcao_ferramentas_iluminacao,moveis_decoracao,11
ferramentas_jardim,utilidades_domesticas,11
beleza_saude,perfumaria,11
esporte_lazer,utilidades_domesticas,11
beleza_saude,cama_mesa_banho,11
cama_mesa_banho,cool_stuff,10
ferramentas_jardim,informatica_acessorios,8
brinquedos,cool_stuff,7
moveis_decoracao,relogios_presentes,7
casa_construcao,ferramentas_jardim,7
moveis_decoracao,moveis_sala,7
cool_stuff,telefonia,6
casa_conforto,moveis_decoracao,6
brinquedos,papelaria,6
audio,relogios_presentes,6
informatica_acessorios,telefonia,6
artes,moveis_decoracao,5
bebes,utilidades_domesticas,5
construcao_ferramentas_construcao,ferramentas_jardim,5
cool_stuff,informatica_acessorios,5
automotivo,informatica_acessorios,5
cama_mesa_banho,moveis_escritorio,5
eletronicos,informatica_acessorios,5
esporte_lazer,relogios_presentes,5
malas_acessorios,papelaria,5
moveis_decoracao,moveis_escritorio,4
papelaria,utilidades_domesticas,4
beleza_saude,papelaria,4
cama_mesa_banho,ferramentas_jardim,4
brinquedos,esporte_lazer,4
cool_stuff,moveis_decoracao,4
informatica_acessorios,utilidades_domesticas,4
bebes,ferramentas_jardim,4
moveis_escritorio,moveis_sala,3
automotivo,telefonia,3
automotivo,construcao_ferramentas_construcao,3
beleza_saude,relogios_presentes,3
esporte_lazer,perfumaria,3
alimentos,beleza_saude,3
esporte_lazer,informatica_acessorios,3
esporte_lazer,moveis_decoracao,3
automotivo,cool_stuff,3
construcao_ferramentas_iluminacao,esporte_lazer,3
bebes,fashion_bolsas_e_acessorios,3
beleza_saude,moveis_decoracao,3
bebidas,beleza_saude,3
esporte_lazer,ferramentas_jardim,3
automotivo,esporte_lazer,3
market_place,moveis_decoracao,3
moveis_decoracao,perfumaria,2
eletronicos,telefonia,2
moveis_decoracao,pet_shop,2
casa_construcao,utilidades_domesticas,2
automotivo,moveis_decoracao,2
automotivo,utilidades_domesticas,2
relogios_presentes,utilidades_domesticas,2
papelaria,relogios_presentes,2
informatica_acessorios,malas_acessorios,2
industria_comercio_e_negocios,moveis_decoracao,2
informatica_acessorios,papelaria,2
bebidas,esporte_lazer,2
market_place,utilidades_domesticas,2
brinquedos,cama_mesa_banho,2
automotivo,ferramentas_jardim,2
bebidas,utilidades_domesticas,2
cama_mesa_banho,moveis_sala,2
esporte_lazer,moveis_escritorio,2
bebes,fashion_calcados,2
fashion_bolsas_e_acessorios,papelaria,2
brinquedos,perfumaria,2
automotivo,cama_mesa_banho,2
fashion_bolsas_e_acessorios,fashion_roupa_infanto_juvenil,2
alimentos_bebidas,esporte_lazer,2
cool_stuff,relogios_presentes,2
relogios_presentes,telefonia,2
automotivo,bebes,2
casa_construcao,construcao_ferramentas_seguranca,2
cama_mesa_banho,eletronicos,2
beleza_saude,cool_stuff,2
ferramentas_jardim,relogios_presentes,2
moveis_decoracao,papelaria,2
cool_stuff,tablets_impressao_imagem,2
eletronicos,relogios_presentes,2
ferramentas_jardim,papelaria,2
livros_interesse_geral,market_place,2
cama_mesa_banho,construcao_ferramentas_jardim,2
construcao_ferramentas_seguranca,cool_stuff,2
moveis_cozinha_area_de_servico_jantar_e_jardim,utilidades_domesticas,2
cama_mesa_banho,market_place,2
alimentos_bebidas,utilidades_domesticas,2
beleza_saude,telefonia,2
brinquedos,consoles_games,2
eletronicos,perfumaria,2
beleza_saude,malas_acessorios,2
eletronicos,moveis_decoracao,2
beleza_saude,market_place,2
fashion_bolsas_e_acessorios,instrumentos_musicais,1
cama_mesa_banho,construcao_ferramentas_seguranca,1
cool_stuff,utilidades_domesticas,1
eletronicos,ferramentas_jardim,1
construcao_ferramentas_jardim,livros_tecnicos,1
construcao_ferramentas_construcao,informatica_acessorios,1
automotivo,relogios_presentes,1
cama_mesa_banho,construcao_ferramentas_construcao,1
consoles_games,cool_stuff,1
telefonia,telefonia_fixa,1
automotivo,consoles_games,1
casa_construcao,informatica_acessorios,1
brinquedos,moveis_sala,1
alimentos,eletronicos,1
eletronicos,esporte_lazer,1
casa_conforto,utilidades_domesticas,1
eletronicos,malas_acessorios,1
beleza_saude,eletroportateis,1
casa_construcao,construcao_ferramentas_iluminacao,1
malas_acessorios,telefonia,1
construcao_ferramentas_construcao,pet_shop,1
casa_construcao,cool_stuff,1
consoles_games,esporte_lazer,1
brinquedos,telefonia,1
beleza_saude,utilidades_domesticas,1
cama_mesa_banho,eletrodomesticos_2,1
bebes,moveis_quarto,1
eletroportateis,moveis_decoracao,1
ferramentas_jardim,la_cuisine,1
livros_interesse_geral,utilidades_domesticas,1
cama_mesa_banho,moveis_quarto,1
