ProductA_Code,ProductA_Name,ProductB_Code,ProductB_Name,PairCount
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1153
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE ,993
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,869
21231,SWEETHEART CERAMIC TRINKET BOX,21232,STRAWBERRY CERAMIC TRINKET BOX,817
21754,HOME BUILDING BLOCK WORD,21755,LOVE BUILDING BLOCK WORD,786
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN ,774
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,743
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,741
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,736
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,733
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN ,726
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,723
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED ,702
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN ,697
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,691
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,679
22629,SPACEBOY LUNCH BOX ,22630,DOLLY GIRL LUNCH BOX,672
82494L,WOODEN FRAME ANTIQUE WHITE ,85123A,WHITE HANGING HEART T-LIGHT HOLDER,670
20726,LUNCH BAG WOODLAND,20727,LUNCH BAG  BLACK SKULL.,667
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,667
82482,WOODEN PICTURE FRAME WHITE FINISH,85123A,WHITE HANGING HEART T-LIGHT HOLDER,664
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,664
22470,HEART OF WICKER LARGE,85123A,WHITE HANGING HEART T-LIGHT HOLDER,650
84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,648
85099B,JUMBO BAG RED RETROSPOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,634
22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,625
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,622
22112,CHOCOLATE HOT WATER BOTTLE,22114,HOT WATER BOTTLE TEA AND SYMPATHY,620
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,606
22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,597
21754,HOME BUILDING BLOCK WORD,85123A,WHITE HANGING HEART T-LIGHT HOLDER,590
22423,REGENCY CAKESTAND 3 TIER,22699,ROSES REGENCY TEACUP AND SAUCER ,580
21166,COOK WITH WINE METAL SIGN ,21175,GIN + TONIC DIET METAL SIGN,577
21975,PACK OF 60 DINOSAUR CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,576
21790,VINTAGE SNAP CARDS,21791,VINTAGE HEADS AND TAILS CARD GAME ,574
84991,60 TEATIME FAIRY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,571
20971,PINK BLUE FELT CRAFT TRINKET BOX,20972,PINK CREAM FELT CRAFT TRINKET BOX ,570
22469,HEART OF WICKER SMALL,85123A,WHITE HANGING HEART T-LIGHT HOLDER,569
22551,PLASTERS IN TIN SPACEBOY,22554,PLASTERS IN TIN WOODLAND ANIMALS,555
82580,BATHROOM METAL SIGN,82581,TOILET METAL SIGN,554
21931,JUMBO STORAGE BAG SUKI,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,554
21931,JUMBO STORAGE BAG SUKI,85099F,JUMBO BAG STRAWBERRY,551
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,547
22138,BAKING SET 9 PIECE RETROSPOT ,22617,BAKING SET SPACEBOY DESIGN,544
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN ,542
21755,LOVE BUILDING BLOCK WORD,85123A,WHITE HANGING HEART T-LIGHT HOLDER,541
22865,HAND WARMER OWL DESIGN,22866,HAND WARMER SCOTTY DOG DESIGN,540
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,530
22865,HAND WARMER OWL DESIGN,22867,HAND WARMER BIRD DESIGN,526
21931,JUMBO STORAGE BAG SUKI,85099C,JUMBO  BAG BAROQUE BLACK WHITE,524
21136,PAINTED METAL PEARS ASSORTED,84879,ASSORTED COLOUR BIRD ORNAMENT,522
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,522
22551,PLASTERS IN TIN SPACEBOY,22556,PLASTERS IN TIN CIRCUS PARADE ,521
22423,REGENCY CAKESTAND 3 TIER,22697,GREEN REGENCY TEACUP AND SAUCER,518
21175,GIN + TONIC DIET METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN ,517
20725,LUNCH BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,513
20725,LUNCH BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,510
22382,LUNCH BAG SPACEBOY DESIGN ,22383,LUNCH BAG SUKI  DESIGN ,510
22382,LUNCH BAG SPACEBOY DESIGN ,22662,LUNCH BAG DOLLY GIRL DESIGN,504
22423,REGENCY CAKESTAND 3 TIER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,504
85099C,JUMBO  BAG BAROQUE BLACK WHITE,85099F,JUMBO BAG STRAWBERRY,504
21166,COOK WITH WINE METAL SIGN ,21181,PLEASE ONE PERSON METAL SIGN,503
22727,ALARM CLOCK BAKELIKE RED ,22728,ALARM CLOCK BAKELIKE PINK,501
21166,COOK WITH WINE METAL SIGN ,85152,HAND OVER THE CHOCOLATE   SIGN ,498
82483,WOOD 2 DRAWER CABINET WHITE FINISH,82486,WOOD S/3 CABINET ANT WHITE FINISH,495
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,494
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,494
84836,ZINC METAL HEART DECORATION,85123A,WHITE HANGING HEART T-LIGHT HOLDER,492
22554,PLASTERS IN TIN WOODLAND ANIMALS,22556,PLASTERS IN TIN CIRCUS PARADE ,490
22111,SCOTTIE DOG HOT WATER BOTTLE,22112,CHOCOLATE HOT WATER BOTTLE,489
21086,SET/6 RED SPOTTY PAPER CUPS,21094,SET/6 RED SPOTTY PAPER PLATES,489
21975,PACK OF 60 DINOSAUR CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,488
21175,GIN + TONIC DIET METAL SIGN,21181,PLEASE ONE PERSON METAL SIGN,487
22189,CREAM HEART CARD HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,486
22457,NATURAL SLATE HEART CHALKBOARD ,85123A,WHITE HANGING HEART T-LIGHT HOLDER,483
21929,JUMBO BAG PINK VINTAGE PAISLEY,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,479
22112,CHOCOLATE HOT WATER BOTTLE,22835,HOT WATER BOTTLE I AM SO POORLY,479
21212,PACK OF 72 RETRO SPOT CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,478
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,472
22745,POPPY'S PLAYHOUSE BEDROOM ,22748,POPPY'S PLAYHOUSE KITCHEN,472
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,470
