StockCode,Description,TotalQty,Label
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,WORLD WAR 2 GLIDERS ASSTD DESIGNS
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,WHITE HANGING HEART T-LIGHT HOLDER
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,"PAPER CRAFT , LITTLE BIRDIE"
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,ASSORTED COLOUR BIRD ORNAMENT
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,MEDIUM CERAMIC TOP STORAGE JAR
85099B,JUMBO BAG RED RETROSPOT,74224,JUMBO BAG RED RETROSPOT
17003,BROCADE RING PURSE ,70082,BROCADE RING PURSE
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,PACK OF 60 PINK PAISLEY CAKE CASES
84991,60 TEATIME FAIRY CAKE CASES,52828,60 TEATIME FAIRY CAKE CASES
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,PACK OF 72 RETRO SPOT CAKE CASES
